Category,Model,Correctness %,Partial %,Failure %,Relevance %,Concept Coverage %,Hallucination %,Latency sec,Prompt Tokens Avg,Response Tokens Avg,Total Response Tokens,Tokens/sec,Static Code Quality %,RAG Grounding %,Test Pass Rate %,Retrieval Precision %,Retrieval Recall %
Explanation,qwen2.5:1.5b,0.0,50.0,50.0,25.0,13.33,25.0,70.87,87.5,132.25,529,4.21,,,,,
Explanation,phi3:mini,0.0,50.0,50.0,25.0,13.33,0.0,53.19,86.0,61.75,247,1.43,,,,,
Explanation,tinyllama,0.0,50.0,50.0,25.0,13.33,0.0,31.96,117.5,135.5,542,7.48,,,,,
Code Retrieval,qwen2.5:1.5b,0.0,75.0,25.0,43.75,54.17,0.0,315.05,84.0,60.5,242,2.05,,,,,
Code Retrieval,phi3:mini,0.0,50.0,50.0,31.25,45.83,0.0,46.36,77.5,37.25,149,3.91,,,,,
Code Retrieval,tinyllama,0.0,50.0,50.0,37.5,37.5,0.0,19.6,99.5,32.25,129,12.68,,,,,
Dependency Understanding,phi3:mini,0.0,50.0,50.0,50.0,39.58,0.0,19.03,78.5,55.5,222,4.55,,,,,
Dependency Understanding,qwen2.5:1.5b,0.0,75.0,25.0,50.0,45.83,0.0,18.13,85.75,96.75,387,7.54,,,,,
Dependency Understanding,tinyllama,0.0,25.0,75.0,43.75,39.58,0.0,3.06,101.0,66.0,264,21.89,,,,,
Bug Analysis,qwen2.5:1.5b,0.0,75.0,25.0,31.25,21.67,0.0,11.23,83.5,120.0,480,11.36,,,,,
Bug Analysis,tinyllama,0.0,25.0,75.0,25.0,11.25,0.0,21.82,98.75,74.0,296,13.3,,,,,
Bug Analysis,phi3:mini,0.0,50.0,50.0,25.0,15.42,0.0,12.51,71.25,77.0,308,6.99,,,,,
Code Generation,qwen2.5:1.5b,0.0,80.0,20.0,50.0,46.0,0.0,25.68,84.2,120.0,600,11.17,20.0,,,,
Code Generation,tinyllama,0.0,60.0,40.0,40.0,36.0,0.0,5.56,99.8,80.0,400,21.0,20.0,,,,
Code Generation,phi3:mini,0.0,20.0,80.0,30.0,18.0,0.0,20.12,72.4,80.0,400,5.61,20.0,,,,
Refactoring,qwen2.5:1.5b,0.0,75.0,25.0,37.5,25.0,0.0,54.83,87.75,120.0,480,6.25,,,,,
Refactoring,tinyllama,0.0,25.0,75.0,31.25,26.25,0.0,21.97,103.75,80.0,320,14.96,,,,,
Refactoring,phi3:mini,0.0,50.0,50.0,37.5,30.0,0.0,10.15,77.0,80.0,320,8.08,,,,,
RAG-based Question,qwen2.5:1.5b,0.0,80.0,20.0,45.0,40.67,0.0,7.22,86.4,55.8,279,10.32,,40.67,,,
RAG-based Question,tinyllama,0.0,60.0,40.0,30.0,16.67,0.0,2.53,102.2,58.2,291,23.19,,16.67,,,
RAG-based Question,phi3:mini,0.0,80.0,20.0,30.0,27.33,0.0,29.37,74.8,48.4,242,2.86,,27.33,,,
